Disaster Type,Year,Code,Total Deaths,Global CO2 Emissions,Anomaly
Extreme temperature,2012,0.0,1620,225160.415,0.62
Extreme weather,2012,0.0,3105,225160.415,0.62
Flood,2012,0.0,3633,225160.415,0.62
Volcanic activity,2012,0.0,0,225160.415,0.62
Wet mass movement,2012,0.0,501,225160.415,0.62
Wildfire,2012,0.0,22,225160.415,0.62
All disasters,2013,0.0,21847,226555.345,0.67
All disasters excluding earthquakes,2013,0.0,20727,226555.345,0.67
All disasters excluding extreme temperature,2013,0.0,19812,226555.345,0.67
Drought,2013,0.0,0,226555.345,0.67
Dry mass movement,2013,0.0,46,226555.345,0.67
Earthquake,2013,0.0,1120,226555.345,0.67
Extreme temperature,2013,0.0,2035,226555.345,0.67
Extreme weather,2013,0.0,8598,226555.345,0.67
Flood,2013,0.0,9778,226555.345,0.67
Volcanic activity,2013,0.0,0,226555.345,0.67
Wet mass movement,2013,0.0,235,226555.345,0.67
Wildfire,2013,0.0,35,226555.345,0.67
All disasters,2014,0.0,7975,227582.198,0.73
All disasters excluding earthquakes,2014,0.0,7201,227582.198,0.73
All disasters excluding extreme temperature,2014,0.0,6807,227582.198,0.73
Drought,2014,0.0,0,227582.198,0.73
Earthquake,2014,0.0,774,227582.198,0.73
Extreme temperature,2014,0.0,1168,227582.198,0.73
Extreme weather,2014,0.0,1432,227582.198,0.73
Flood,2014,0.0,3523,227582.198,0.73
Volcanic activity,2014,0.0,102,227582.198,0.73
Wet mass movement,2014,0.0,960,227582.198,0.73
Wildfire,2014,0.0,16,227582.198,0.73
All disasters,2015,0.0,22879,227612.885,0.8
All disasters excluding earthquakes,2015,0.0,13329,227612.885,0.8
All disasters excluding extreme temperature,2015,0.0,15454,227612.885,0.8
Drought,2015,0.0,35,227612.885,0.8
Dry mass movement,2015,0.0,13,227612.885,0.8
Earthquake,2015,0.0,9550,227612.885,0.8
Extreme temperature,2015,0.0,7425,227612.885,0.8
Extreme weather,2015,0.0,1288,227612.885,0.8
Flood,2015,0.0,3484,227612.885,0.8
Volcanic activity,2015,0.0,0,227612.885,0.8
Wet mass movement,2015,0.0,1006,227612.885,0.8
Wildfire,2015,0.0,78,227612.885,0.8
All disasters,2016,0.0,8395,227618.086,1.05
All disasters excluding earthquakes,2016,0.0,7084,227618.086,1.05
All disasters excluding extreme temperature,2016,0.0,7905,227618.086,1.05
Drought,2016,0.0,0,227618.086,1.05
Earthquake,2016,0.0,1311,227618.086,1.05
Extreme temperature,2016,0.0,490,227618.086,1.05
Extreme weather,2016,0.0,1759,227618.086,1.05
Flood,2016,0.0,4438,227618.086,1.05
Volcanic activity,2016,0.0,0,227618.086,1.05
Wet mass movement,2016,0.0,357,227618.086,1.05
Wildfire,2016,0.0,40,227618.086,1.05
All disasters,2017,0.0,9761,231066.768,0.96
All disasters excluding earthquakes,2017,0.0,8749,231066.768,0.96
All disasters excluding extreme temperature,2017,0.0,9402,231066.768,0.96
Drought,2017,0.0,0,231066.768,0.96
Dry mass movement,2017,0.0,8,231066.768,0.96
Earthquake,2017,0.0,1012,231066.768,0.96
Extreme temperature,2017,0.0,359,231066.768,0.96
Extreme weather,2017,0.0,2543,231066.768,0.96
Flood,2017,0.0,3349,231066.768,0.96
Volcanic activity,2017,0.0,0,231066.768,0.96
Wet mass movement,2017,0.0,2312,231066.768,0.96
Wildfire,2017,0.0,178,231066.768,0.96
All disasters,2018,0.0,11665,235455.96,0.87
All disasters excluding earthquakes,2018,0.0,6604,235455.96,0.87
All disasters excluding extreme temperature,2018,0.0,11068,235455.96,0.87
Drought,2018,0.0,0,235455.96,0.87
Dry mass movement,2018,0.0,17,235455.96,0.87
Earthquake,2018,0.0,5061,235455.96,0.87
Extreme temperature,2018,0.0,597,235455.96,0.87
Extreme weather,2018,0.0,1726,235455.96,0.87
Flood,2018,0.0,2881,235455.96,0.87
Volcanic activity,2018,0.0,914,235455.96,0.87
Wet mass movement,2018,0.0,248,235455.96,0.87
Wildfire,2018,0.0,221,235455.96,0.87
All disasters,2019,0.0,11923,236804.781,0.92
All disasters excluding earthquakes,2019,0.0,11662,236804.781,0.92
All disasters excluding extreme temperature,2019,0.0,8798,236804.781,0.92
Drought,2019,0.0,79,236804.781,0.92
Earthquake,2019,0.0,261,236804.781,0.92
Extreme temperature,2019,0.0,3125,236804.781,0.92
Extreme weather,2019,0.0,2514,236804.781,0.92
Flood,2019,0.0,5074,236804.781,0.92
Volcanic activity,2019,0.0,21,236804.781,0.92
Wet mass movement,2019,0.0,744,236804.781,0.92
Wildfire,2019,0.0,105,236804.781,0.92
All disasters,2020,0.0,15632,224973.704,1.04
All disasters excluding earthquakes,2020,0.0,15436,224973.704,1.04
All disasters excluding extreme temperature,2020,0.0,8999,224973.704,1.04
Drought,2020,0.0,47,224973.704,1.04
Earthquake,2020,0.0,196,224973.704,1.04
Extreme temperature,2020,0.0,6633,224973.704,1.04
Extreme weather,2020,0.0,1758,224973.704,1.04
Flood,2020,0.0,6397,224973.704,1.04
Volcanic activity,2020,0.0,1,224973.704,1.04
Wet mass movement,2020,0.0,514,224973.704,1.04
Wildfire,2020,0.0,86,224973.704,1.04
All disasters,2021,0.0,10525,236484.694,0.87
All disasters excluding earthquakes,2021,0.0,7783,236484.694,0.87
All disasters excluding extreme temperature,2021,0.0,9481,236484.694,0.87
Drought,2021,0.0,4,236484.694,0.87
Earthquake,2021,0.0,2742,236484.694,0.87
Extreme temperature,2021,0.0,1044,236484.694,0.87
Extreme weather,2021,0.0,1893,236484.694,0.87
Flood,2021,0.0,4137,236484.694,0.87
Glacial lake outburst flood,2021,0.0,250,236484.694,0.87
Volcanic activity,2021,0.0,104,236484.694,0.87
Wet mass movement,2021,0.0,224,236484.694,0.87
Wildfire,2021,0.0,127,236484.694,0.87
All disasters,2022,0.0,76100,237679.814,0.91
All disasters excluding earthquakes,2022,0.0,74474,237679.814,0.91
All disasters excluding extreme temperature,2022,0.0,14318,237679.814,0.91
Drought,2022,0.0,2601,237679.814,0.91
Earthquake,2022,0.0,1626,237679.814,0.91
Extreme temperature,2022,0.0,61782,237679.814,0.91
Extreme weather,2022,0.0,1583,237679.814,0.91
Flood,2022,0.0,8011,237679.814,0.91
Glacial lake outburst flood,2022,0.0,11,237679.814,0.91
Volcanic activity,2022,0.0,6,237679.814,0.91
Wet mass movement,2022,0.0,403,237679.814,0.91
Wildfire,2022,0.0,77,237679.814,0.91
