Disaster Type,Year,Code,Total Deaths,Global CO2 Emissions
Extreme temperature,2020,0,6633,224973.704
Extreme weather,2020,0,1758,224973.704
Flood,2020,0,6397,224973.704
Volcanic activity,2020,0,1,224973.704
Wet mass movement,2020,0,514,224973.704
Wildfire,2020,0,86,224973.704
All disasters,2021,0,10525,236484.694
All disasters excluding earthquakes,2021,0,7783,236484.694
All disasters excluding extreme temperature,2021,0,9481,236484.694
Drought,2021,0,4,236484.694
Earthquake,2021,0,2742,236484.694
Extreme temperature,2021,0,1044,236484.694
Extreme weather,2021,0,1893,236484.694
Flood,2021,0,4137,236484.694
Glacial lake outburst flood,2021,0,250,236484.694
Volcanic activity,2021,0,104,236484.694
Wet mass movement,2021,0,224,236484.694
Wildfire,2021,0,127,236484.694
All disasters,2022,0,76100,237679.814
All disasters excluding earthquakes,2022,0,74474,237679.814
All disasters excluding extreme temperature,2022,0,14318,237679.814
Drought,2022,0,2601,237679.814
Earthquake,2022,0,1626,237679.814
Extreme temperature,2022,0,61782,237679.814
Extreme weather,2022,0,1583,237679.814
Flood,2022,0,8011,237679.814
Glacial lake outburst flood,2022,0,11,237679.814
Volcanic activity,2022,0,6,237679.814
Wet mass movement,2022,0,403,237679.814
Wildfire,2022,0,77,237679.814
